"vol" "age" "owner" "nuts" "species" "step0.nomgmt" "step0.finalfell" "step1.nomgmt" "step1.finalfell" "step2.nomgmt" "step2.finalfell" "step3.nomgmt" "step3.finalfell" "step4.nomgmt" "step4.finalfell" "step5.nomgmt" "step5.finalfell"
"11857" "6" "15" "communal" "DE1" "beech" 334.371584623974 143.302107695989 887.249947478328 380.249977490712 368.023174571587 157.724217673537 497.857776574805 213.367618532059 1008.60989545944 432.261383768332 1225.95070946201 525.407446912292
"13729" "7" "15" "communal" "DE1" "beech" 559.573837518476 239.81735893649 733.658838346123 314.425216434053 538.228184346418 230.669221862751 301.365042275969 129.156446689701 512.601373107247 219.686302760249 903.538784929164 387.230907826785
"15601" "8" "15" "communal" "DE1" "beech" 179.662331410346 76.9981420330056 580.123430213628 248.624327234412 148.800118719396 63.7714794511697 184.699765815372 79.1570424923022 634.968586334107 272.129394143189 639.975898360519 274.275385011651
"17473" "9" "15" "communal" "DE1" "beech" 51.3463254544855 22.0055680519223 217.1566159014 93.0671211005999 209.334896341826 89.7149555750684 109.359076533869 46.8681756573726 450.833702573872 193.214443960231 391.812364387396 167.919584737455
"2497" "10" "15" "communal" "DE1" "beech" 277.71135643043 119.019152755899 542.441825274857 232.475067974939 534.892369299423 229.23958684261 476.558173550126 204.239217235768 397.244904030791 170.247816013196 443.021402356223 189.866315295524
"729" "1" "16" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0 0 0 0
"4473" "2" "16" "communal" "DE1" "beech" 70.0169012114257 30.0072433763253 98.0236616959965 42.0101407268556 0 0 79.3991659737571 34.0282139887531 79.3991707063161 34.0282160169926 95.6810350318243 41.0061578707818
"6345" "3" "16" "communal" "DE1" "beech" 137.752671384696 59.0368591648695 184.717214701242 79.1645205862468 77.6994271522278 33.2997544938119 152.991675987193 65.5678611373685 150.468150071147 64.4863500304915 426.604278872305 182.830405230988
"8217" "4" "16" "communal" "DE1" "beech" 90.8842993861866 38.9504140226514 201.944719366032 86.5477368711564 397.250544743549 170.250233461521 173.356436756296 74.2956157526981 389.575504364274 166.960930441832 408.167007189626 174.928717366983
"10089" "5" "16" "communal" "DE1" "beech" 296.035041136229 126.872160486955 320.622733584888 137.409742964952 544.247707283669 233.249017407287 583.910369868158 250.247301372068 519.995374089896 222.855160324241 492.857988218709 211.224852093732
"11961" "6" "16" "communal" "DE1" "beech" 108.383269941728 46.4499728321691 234.060109236782 100.311475387192 621.07496323483 266.174984243498 257.616222200111 110.406952371476 348.500443602363 149.357332972441 706.026926821609 302.582968637833
"13833" "7" "16" "communal" "DE1" "beech" 144.685214185231 62.0079489365277 391.701686262933 167.872151255543 513.561186842286 220.097651503837 376.759729042492 161.468455303925 210.955529593178 90.4095126827906 358.820961175073 153.780411932174
"15705" "8" "16" "communal" "DE1" "beech" 49.6529154458235 21.2798209053529 125.763631987242 53.8986994231039 406.086401149539 174.037029064088 104.160083103577 44.6400356158188 129.28983607076 55.4099297446116 444.478010433875 190.490575900232
"17577" "9" "16" "communal" "DE1" "beech" 60.0602312466475 25.7400991057061 35.9424278181398 15.4038976363456 152.00963113098 65.1469847704199 146.534427439278 62.8004689025479 76.5513535737085 32.8077229601608 315.58359180171 135.250110772161
"2601" "10" "16" "communal" "DE1" "beech" 257.536927601445 110.372968972048 194.397949501301 83.3134069291291 379.7092776924 162.732547582457 374.424658509596 160.467710789827 333.590721485088 142.967452065038 278.071432821554 119.173471209237
"833" "1" "17" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0 0 0 0
