vol age owner nuts species area
1 8 communal DE7 spruce 0
1 8 communal DE8 beech 0
1 8 communal DE8 spruce 0
1 8 communal DE9_5_6 beech 0
1 8 communal DE9_5_6 spruce 0
1 8 communal DEA beech 0
1 8 communal DEA spruce 0
1 8 communal DEB beech 99.577831689679
1 8 communal DEB spruce 0
1 8 communal DEC beech 0
1 8 communal DEC spruce 0
1 8 communal DED beech 0
1 8 communal DED spruce 0
1 8 communal DEE beech 0
1 8 communal DEE spruce 0
1 8 communal DEF beech 0
1 8 communal DEF spruce 0
1 8 communal DEG beech 0
1 8 communal DEG spruce 200.194381924001
1 8 land DE1 beech 0
1 8 land DE1 spruce 0
1 8 land DE2 beech 0
1 8 land DE2 spruce 0
1 8 land DE3_4 beech 0
1 8 land DE3_4 spruce 0
1 8 land DE7 beech 0
1 8 land DE7 spruce 0
1 8 land DE8 beech 0
1 8 land DE8 spruce 0
1 8 land DE9_5_6 beech 0
1 8 land DE9_5_6 spruce 0
1 8 land DEA beech 0
1 8 land DEA spruce 0
1 8 land DEB beech 0
1 8 land DEB spruce 0
1 8 land DEC beech 0
1 8 land DEC spruce 0
1 8 land DED beech 0
1 8 land DED spruce 0
1 8 land DEE beech 0
1 8 land DEE spruce 0
1 8 land DEF beech 0
1 8 land DEF spruce 0
1 8 land DEG beech 0
1 8 land DEG spruce 0
1 8 national DE1 beech 0
1 8 national DE1 spruce 0
1 8 national DE2 beech 0
1 8 national DE2 spruce 0
1 8 national DE3_4 beech 0
1 8 national DE3_4 spruce 0
1 8 national DE7 beech 0
1 8 national DE7 spruce 0
1 8 national DE8 beech 0
1 8 national DE8 spruce 0
1 8 national DE9_5_6 beech 0
1 8 national DE9_5_6 spruce 397.707273697315
1 8 national DEA beech 0
1 8 national DEA spruce 0
1 8 national DEB beech 0
1 8 national DEB spruce 0
1 8 national DEC beech 0
1 8 national DEC spruce 0
1 8 national DED beech 0
1 8 national DED spruce 0
1 8 national DEE beech 0
1 8 national DEE spruce 0
1 8 national DEF beech 0
1 8 national DEF spruce 0
1 8 national DEG beech 0
1 8 national DEG spruce 0
1 8 private DE1 beech 0
1 8 private DE1 spruce 200.048289175503
1 8 private DE2 beech 0
