"vol" "age" "siteclass" "species" "step0.nomgmt" "step0.finalfell" "step0.thin" "step1.nomgmt" "step1.finalfell" "step1.thin" "step2.nomgmt" "step2.finalfell" "step2.thin" "step3.nomgmt" "step3.finalfell" "step3.thin" "step4.nomgmt" "step4.finalfell" "step4.thin"
"2177" "13" "13" "SE11" "BT" 0 0 0 0.0699515974842767 0 0.0428735597484277 0.0472561903004892 0 0.0289634714744934 0.472396961039964 0 0.289533621282558 0 0 0
"2689" "14" "13" "SE11" "BT" 13.08 0 8.72 10.6958249056604 0 7.13054993710692 7.22562393626834 0 4.8170826241789 72.2310192041751 0 48.1540128027834 0 0 0
"3201" "15" "13" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3713" "16" "13" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4225" "17" "13" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"161" "1" "14" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4769" "2" "14" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5281" "3" "14" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5793" "4" "14" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6305" "5" "14" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
