"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5"
"143" "4" "12" "priv" 421.6 550.634414356767 567.427181478298 784.821003605217 612.836152774718 547.116783684942
"177" "5" "12" "priv" 417.88 806.130666614667 719.951669550723 904.094114004931 691.948673243107 589.401462051869
"211" "6" "12" "priv" 461.42 1211.51762201378 1230.26672959928 1366.01891481941 1059.08082052806 867.086775082669
"245" "7" "12" "priv" 0 188.320000077692 265.47510430047 271.87838624272 227.706426274249 194.050536646724
"279" "8" "12" "priv" 254.52 895.485405462129 1356.32030254446 1449.82134404716 1196.71821492527 1033.11160722342
"313" "9" "12" "priv" 451.84 1834.95567529333 2334.1438831647 3592.54772231444 2748.05311650567 2759.55425909053
"41" "10" "12" "priv" 401.85 1746.07243375183 1440.48750667134 2737.09766804347 1869.94133745273 1903.43908191323
"9" "1" "13" "priv" 205.5 75.803 247.298856607329 224.865826590684 309.382299409607 254.17461901417
"77" "2" "13" "priv" 281.41 184.35885709992 265.234462242237 233.609991793324 332.37065499506 269.691781329854
"111" "3" "13" "priv" 424.4 339.297221214457 440.26994944485 403.055360226786 573.222353922094 459.990751139432
"145" "4" "13" "priv" 925.71 325.693808173976 425.481865030124 403.552316187568 559.680282574796 441.254730970884
"179" "5" "13" "priv" 741.91 359.041922541647 644.936533089434 617.823823811736 778.40677780303 601.288072015518
"213" "6" "13" "priv" 667.03 283.330491359925 673.870582006995 661.467389828781 763.578450488541 590.810816205191
"247" "7" "13" "priv" 533.37 169.163739675855 520.845009523779 579.984834970111 632.996608634662 500.702271569072
"281" "8" "13" "priv" 790.96 345.87414276884 1372.7105750452 1916.00210261337 2427.78786601636 1929.11543375517
"315" "9" "13" "priv" 0 342.13125494528 1429.36579005733 1545.00825605881 2559.96719751924 1879.88682624992
"43" "10" "13" "priv" 203.23 179.19229577895 778.605768322333 642.339836658788 1220.52212245345 833.841187582718
"11" "1" "14" "priv" 0 273.1685 128.958149984972 303.036089901012 272.899449729745 379.304683746437
