ownership vol age finalfell thin nomgmt
priv 10 8 0 0.21875 0.78125
priv 10 9 0 0.3 0.7
priv 10 10 0 0.27 0.73
priv 10 11 0 0.25 0.75
priv 10 12 0 0.25 0.75
priv 10 13 0 0.220588235 0.779411765
priv 10 14 0 0.25 0.75
priv 10 15 0 0.381818182 0.618181818
priv 10 16 0 0.257142857 0.742857143
priv 10 17 0 0.291891892 0.708108108
priv 10 18 0 0.211764706 0.788235294
priv 10 19 0 0.305555556 0.694444444
priv 10 20 0 0.228571429 0.771428571
priv 10 21 0 0.346153846 0.653846154
priv 10 22 0.034482759 0.310344828 0.655172414
priv 10 23 0.060606061 0.303030303 0.636363636
priv 10 24 0.086956522 0.260869565 0.652173913
priv 10 25 0.1 0.289473684 0.610526316
priv 10 26 0.1 0.3 0.6
priv 10 27 0.1 0.3 0.6
priv 10 28 0.1 0.3 0.6
priv 10 29 0.1 0.210526316 0.689473684
priv 10 30 0.1 0.2 0.7
priv 10 31 0.1 0.2 0.7
